,Date,Value
532,14.01.2016,1276186363.57
533,17.01.2016,1318160501.78
534,18.01.2016,1355869270.97
535,19.01.2016,1353558924.3
536,20.01.2016,1334412561.68
537,21.01.2016,1294677571.56
538,24.01.2016,1349379947.74
539,25.01.2016,1346670651.97
540,26.01.2016,1361963160.08
541,27.01.2016,1414543976.61
542,28.01.2016,1433611249.73
543,31.01.2016,1386894176.53
544,01.02.2016,1412972295.33
545,02.02.2016,1452241407.65
546,03.02.2016,1523108842.11
547,04.02.2016,1519241216.77
548,07.02.2016,1546062865.92
549,08.02.2016,1499959243.58
550,09.02.2016,1472147056.02
551,10.02.2016,1502622229.37
552,11.02.2016,1459898474.41
553,14.02.2016,1474330541.58
554,15.02.2016,1482675081.7
555,16.02.2016,1532453848.24
556,17.02.2016,1536533440.99
557,18.02.2016,1536751393.0
558,19.02.2016,1508552937.11
559,23.02.2016,1498869094.33
560,24.02.2016,1497629408.47
561,25.02.2016,1507029711.73
562,28.02.2016,1538670347.62
563,29.02.2016,1529444329.11
564,01.03.2016,1509224847.65
565,02.03.2016,1546863639.85
566,03.03.2016,1552004090.78
567,08.03.2016,1550794315.73
568,09.03.2016,1512522981.79
569,10.03.2016,1540452105.09
570,13.03.2016,1630143010.6
571,14.03.2016,1570166011.81
572,15.03.2016,1603137896.44
573,16.03.2016,1618149605.52
574,17.03.2016,1675126780.34
575,20.03.2016,1742641728.84
576,21.03.2016,1742199271.4
577,22.03.2016,1743282929.92
578,23.03.2016,1750121604.56
579,24.03.2016,1686721963.87
580,27.03.2016,1687182803.99
581,28.03.2016,1695227885.9
582,29.03.2016,1656454792.78
583,30.03.2016,1731144608.65
584,31.03.2016,1780074809.91
585,03.04.2016,1790988058.51
586,04.04.2016,1803411756.37
587,05.04.2016,1663461565.23
588,06.04.2016,1582766202.95
589,07.04.2016,1611423546.06
590,10.04.2016,1593392720.55
591,11.04.2016,1567026513.58
592,12.04.2016,1587791305.41
593,13.04.2016,1609753677.1
594,14.04.2016,1568899532.68
595,17.04.2016,1569465416.48
596,18.04.2016,1565401099.67
597,19.04.2016,1596659717.05
598,20.04.2016,1601262573.49
599,21.04.2016,1576200971.97
600,24.04.2016,1454613621.37
601,25.04.2016,1442729010.75
602,26.04.2016,1436491300.32
603,27.04.2016,1444424204.81
604,28.04.2016,1493585080.03
605,03.05.2016,1498083414.11
606,04.05.2016,1496912287.83
607,05.05.2016,1503985578.44
608,09.05.2016,1505350038.66
609,10.05.2016,1450246789.82
610,11.05.2016,1445270899.71
611,12.05.2016,1448748222.8
612,15.05.2016,1450512840.35
613,16.05.2016,1453976708.55
614,17.05.2016,1460885468.3
615,18.05.2016,1469832005.53
616,19.05.2016,1470648498.35
617,22.05.2016,1487782569.63
618,23.05.2016,1489426567.47
619,24.05.2016,1492378222.85
620,25.05.2016,1496913850.05
621,26.05.2016,1502110988.83
622,29.05.2016,1492359110.68
623,30.05.2016,1493132104.78
624,31.05.2016,1489853632.28
625,01.06.2016,1489394396.43
626,02.06.2016,1495466299.49
627,05.06.2016,1525500394.52
628,06.06.2016,1500125910.56
629,07.06.2016,1524864495.16
630,08.06.2016,1541331917.29
631,09.06.2016,1545320125.2
632,13.06.2016,1550354917.19
633,14.06.2016,1587375920.93
634,15.06.2016,1595120397.59
635,16.06.2016,1602415437.98
636,19.06.2016,1710322287.71
637,20.06.2016,1707146466.61
638,21.06.2016,1730157851.74
639,22.06.2016,1709924874.18
640,23.06.2016,1708227617.79
641,26.06.2016,1724771004.07
642,27.06.2016,1698113879.04
643,28.06.2016,1588579101.0
644,29.06.2016,1589234703.66
645,30.06.2016,1596188999.54
646,03.07.2016,1601848155.57
647,04.07.2016,1616689993.09
648,05.07.2016,1622078641.19
649,06.07.2016,1627639037.6
650,07.07.2016,1629200775.92
651,10.07.2016,1630772678.26
652,11.07.2016,1639048742.19
653,12.07.2016,1639161248.81
654,13.07.2016,1646350140.23
655,14.07.2016,1648706962.29
656,17.07.2016,1700820906.79
657,18.07.2016,1708993216.57
658,19.07.2016,1729878607.27
659,20.07.2016,1688602256.18
660,21.07.2016,1820367856.92
661,24.07.2016,1823329274.89
662,25.07.2016,1829603844.45
663,26.07.2016,1753654975.45
664,27.07.2016,1753092137.15
665,28.07.2016,1746793914.5
666,31.07.2016,1737728119.99
667,01.08.2016,1764566221.25
668,02.08.2016,1765461455.36
669,03.08.2016,1778028988.67
670,04.08.2016,1781399793.2
671,07.08.2016,1797845581.71
672,08.08.2016,1814563129.5
673,09.08.2016,1828473912.43
674,10.08.2016,1861120511.18
675,11.08.2016,1961370284.38
676,14.08.2016,1962469700.75
677,15.08.2016,1960306202.82
678,16.08.2016,1949624930.45
679,17.08.2016,1958491575.46
680,18.08.2016,1969968454.45
681,21.08.2016,1988647773.69
682,22.08.2016,1985403564.5
683,23.08.2016,1931689264.03
684,24.08.2016,1926224321.95
685,25.08.2016,1905614191.94
686,28.08.2016,1897796894.8
687,29.08.2016,1875449706.46
688,30.08.2016,1875760743.73
689,31.08.2016,1874241931.7
690,01.09.2016,1848532597.16
691,04.09.2016,1819271699.87
692,05.09.2016,1867564794.09
693,06.09.2016,1861344405.75
694,07.09.2016,1874872924.65
695,08.09.2016,1868448986.66
696,11.09.2016,1877787507.23
697,12.09.2016,1817021102.72
698,13.09.2016,1819376992.97
699,14.09.2016,1911526543.95
700,15.09.2016,1921191552.87
701,18.09.2016,1968733570.65
702,19.09.2016,1960135237.99
703,20.09.2016,1961010203.33
704,21.09.2016,1959429966.68
705,22.09.2016,1968515948.36
706,25.09.2016,1960059789.76
707,26.09.2016,1952629720.94
708,27.09.2016,1953250547.28
